"_source/@timestamp","_source/netflow/tcp_flags","_source/netflow/l4_src_port","_source/netflow/ipv4_dst_addr","_source/netflow/in_bytes","_source/netflow/l4_dst_port","_source/netflow/ipv4_src_addr","_source/netflow/in_pkts","Anomaly"
2018-04-05 12:50:01,31,80,"192.168.1.108",42727,59464,"160.153.129.202",36,0
2018-04-05 12:50:01,0,37885,"216.58.206.163",2902,443,"192.168.1.108",4,0
2018-04-05 12:50:01,26,59464,"160.153.129.202",3485,80,"192.168.1.108",31,0
2018-04-05 12:50:01,27,22,"192.168.1.102",3173,33428,"192.168.1.108",25,0
2018-04-05 12:50:01,0,443,"192.168.1.108",1558,37885,"216.58.206.163",4,0
2018-04-05 12:50:01,31,80,"192.168.1.108",23652,59462,"160.153.129.202",23,0
2018-04-05 12:50:01,27,22,"192.168.1.102",3173,33420,"192.168.1.108",25,0
2018-04-05 12:50:01,27,22,"192.168.1.102",3173,33430,"192.168.1.108",25,0
2018-04-05 12:49:01,31,35866,"151.101.36.133",2597,443,"192.168.1.108",22,0
2018-04-05 12:49:01,27,22,"192.168.1.102",3173,33400,"192.168.1.108",25,0
2018-04-05 12:49:01,31,35858,"151.101.36.133",6984,443,"192.168.1.108",105,0
2018-04-05 12:49:01,27,443,"192.168.1.108",4078,35838,"151.101.36.133",19,0
2018-04-05 12:49:01,27,33406,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 12:49:01,27,443,"192.168.1.108",242329,35858,"151.101.36.133",183,0
2018-04-05 12:49:01,27,33392,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 12:52:01,27,22,"192.168.1.102",3173,33456,"192.168.1.108",25,0
2018-04-05 12:52:01,27,22,"192.168.1.100",2769,42232,"192.168.1.108",16,0
2018-04-05 12:52:01,27,33466,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 12:52:01,27,42228,"192.168.1.108",2009,22,"192.168.1.100",16,0
2018-04-05 12:52:01,27,33462,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 12:52:01,27,33474,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 12:52:01,27,54256,"129.164.179.22",2176,443,"192.168.1.108",14,0
2018-04-05 12:50:01,27,22,"192.168.1.102",3173,33412,"192.168.1.108",25,0
2018-04-05 12:50:01,0,0,"192.168.1.1",604,771,"192.168.1.111",4,0
2018-04-05 12:50:01,27,22,"192.168.1.102",3173,33422,"192.168.1.108",25,0
2018-04-05 12:50:01,26,59472,"160.153.129.202",3470,80,"192.168.1.108",34,0
2018-04-05 12:50:01,27,43338,"192.168.1.1",3802,80,"192.168.1.108",33,0
2018-04-05 12:50:01,26,59474,"160.153.129.202",1536,80,"192.168.1.108",21,0
2018-04-05 12:48:01,27,22,"192.168.1.102",3173,33376,"192.168.1.108",25,0
2018-04-05 12:48:01,27,22,"192.168.1.102",3173,33384,"192.168.1.108",25,0
2018-04-05 12:48:01,27,22,"192.168.1.102",3173,33368,"192.168.1.108",25,0
2018-04-05 12:48:01,27,22,"192.168.1.100",2649,42211,"192.168.1.108",15,0
2018-04-05 12:48:01,27,42208,"192.168.1.108",2021,22,"192.168.1.100",16,0
2018-04-05 12:48:01,27,33384,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 12:48:01,27,22,"192.168.1.102",3173,33386,"192.168.1.108",25,0
2018-04-05 12:51:01,27,22,"192.168.1.102",3173,33438,"192.168.1.108",25,0
2018-04-05 12:51:01,27,33452,"192.168.1.108",2374,22,"192.168.1.102",19,1
2018-04-05 12:51:01,27,22,"192.168.1.102",3225,33434,"192.168.1.108",26,0
2018-04-05 12:51:01,27,22,"192.168.1.102",3173,33444,"192.168.1.108",25,0
2018-04-05 12:54:01,27,22,"192.168.1.102",3173,33528,"192.168.1.108",25,0
2018-04-05 12:54:01,27,42254,"192.168.1.108",1969,22,"192.168.1.100",15,0
2018-04-05 12:54:01,27,22,"192.168.1.100",2769,42254,"192.168.1.108",16,0
2018-04-05 12:49:01,27,443,"192.168.1.108",17941,35860,"151.101.36.133",26,0
2018-04-05 12:49:01,27,33404,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 12:49:01,27,443,"192.168.1.108",4093,35840,"151.101.36.133",19,0
2018-04-05 12:53:01,27,22,"192.168.1.102",3173,33488,"192.168.1.108",25,0
2018-04-05 12:53:01,27,22,"192.168.1.102",3173,33504,"192.168.1.108",25,0
2018-04-05 12:54:01,27,22,"192.168.1.102",3173,33512,"192.168.1.108",25,0
2018-04-05 12:46:01,0,56470,"239.255.255.250",800,1900,"192.168.1.111",4,0
2018-04-05 12:46:01,27,22,"192.168.1.102",3173,33314,"192.168.1.108",25,0
2018-04-05 12:46:01,27,33342,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 12:46:01,27,33316,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 12:46:01,27,42189,"192.168.1.108",1905,22,"192.168.1.100",14,0
2018-04-05 12:46:01,27,22,"192.168.1.102",3173,33328,"192.168.1.108",25,0
2018-04-05 12:46:01,27,22,"192.168.1.102",3173,33316,"192.168.1.108",25,0
2018-04-05 12:46:01,27,22,"192.168.1.102",3173,33338,"192.168.1.108",25,0
2018-04-05 12:46:01,0,37271,"216.58.206.206",30227,443,"192.168.1.108",72,0
2018-04-05 12:46:01,27,22,"192.168.1.102",3173,33340,"192.168.1.108",25,0
2018-04-05 12:44:01,0,443,"192.168.1.108",1558,57631,"172.217.17.163",4,0
2018-04-05 12:44:01,27,33274,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 12:44:01,0,34777,"239.255.255.250",800,1900,"192.168.1.108",4,0
2018-04-05 12:44:01,0,53,"192.168.1.111",238,56689,"8.8.4.4",2,0
2018-04-05 12:44:01,27,33284,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 12:44:01,0,34893,"172.217.169.131",1514,443,"192.168.1.108",3,0
2018-04-05 12:44:01,27,33286,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 12:44:01,0,443,"192.168.1.108",8338,44080,"216.58.214.228",12,0
2018-04-05 12:44:01,0,443,"192.168.1.108",1558,34893,"172.217.169.131",4,0
2018-04-05 12:44:01,27,33264,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 12:44:01,0,44656,"172.217.17.163",4270,443,"192.168.1.108",5,0
2018-04-05 12:44:01,27,33270,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 12:45:01,27,22,"192.168.1.102",3173,33290,"192.168.1.108",25,0
2018-04-05 12:45:01,27,22,"192.168.1.102",3173,33304,"192.168.1.108",25,0
2018-04-05 12:45:01,0,40710,"172.217.169.142",2348,443,"192.168.1.108",7,0
2018-04-05 12:45:01,20,36962,"162.125.66.3",52,443,"192.168.1.108",1,0
2018-04-05 12:42:01,0,443,"192.168.1.108",4443,49279,"172.217.169.142",8,0
2018-04-05 12:42:01,0,49279,"172.217.169.142",4352,443,"192.168.1.108",6,0
2018-04-05 12:42:01,0,443,"192.168.1.108",2936,48231,"216.58.212.3",5,0
2018-04-05 12:42:01,0,443,"192.168.1.108",7123,47883,"172.217.7.195",9,0
2018-04-05 12:47:01,27,33362,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 12:47:01,27,22,"192.168.1.102",3173,33354,"192.168.1.108",25,0
2018-04-05 12:47:01,27,22,"192.168.1.102",3173,33350,"192.168.1.108",25,0
2018-04-05 12:47:01,27,22,"192.168.1.102",3173,33348,"192.168.1.108",25,0
2018-04-05 12:44:01,27,22,"192.168.1.102",3173,33272,"192.168.1.108",25,0
2018-04-05 12:44:01,0,53,"192.168.1.111",238,56689,"8.8.8.8",2,0
2018-04-05 12:43:01,31,443,"192.168.1.108",4060,51884,"192.30.253.117",8,0
2018-04-05 12:43:01,26,53216,"192.30.253.112",1223,443,"192.168.1.108",11,0
2018-04-05 12:41:01,0,123,"192.168.1.108",76,60033,"91.189.94.4",1,0
2018-04-05 12:56:01,27,22,"192.168.1.102",3173,33574,"192.168.1.108",25,0
2018-04-05 12:56:01,27,22,"192.168.1.102",3173,33570,"192.168.1.108",25,0
2018-04-05 12:56:01,27,33566,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 12:56:01,0,38636,"216.58.212.3",5049,443,"192.168.1.108",10,0
2018-04-05 12:56:01,27,22,"192.168.1.102",3173,33556,"192.168.1.108",25,0
2018-04-05 12:56:01,0,5353,"224.0.0.251",169,5353,"192.168.1.108",1,0
2018-04-05 12:56:01,27,33570,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 12:59:01,27,22,"192.168.1.102",3173,33640,"192.168.1.108",25,0
2018-04-05 12:59:01,27,22,"192.168.1.102",3173,33634,"192.168.1.108",25,0
2018-04-05 12:59:01,0,137,"192.168.1.255",702,137,"192.168.1.103",9,0
2018-04-05 12:59:01,27,33646,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 12:59:01,27,22,"192.168.1.102",3173,33636,"192.168.1.108",25,0
2018-04-05 12:59:01,27,33642,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 12:59:01,27,33630,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 12:59:01,27,33644,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:02:01,0,56105,"239.255.255.250",800,1900,"192.168.1.108",4,0
2018-04-05 13:02:01,27,33714,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:02:01,27,443,"192.168.1.108",1124269,43608,"217.146.190.232",764,0
2018-04-05 13:02:01,27,22,"192.168.1.102",3173,33710,"192.168.1.108",25,0
2018-04-05 13:02:01,27,33702,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:02:01,27,22,"192.168.1.102",3173,33714,"192.168.1.108",25,0
2018-04-05 13:00:01,27,22,"192.168.1.102",3173,33658,"192.168.1.108",25,0
2018-04-05 13:00:01,27,33666,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:00:01,27,22,"192.168.1.102",3173,33676,"192.168.1.108",25,0
2018-04-05 13:00:01,27,33652,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:00:01,27,22,"192.168.1.102",3173,33652,"192.168.1.108",25,0
2018-04-05 13:00:01,27,22,"192.168.1.102",3173,33656,"192.168.1.108",25,0
2018-04-05 13:00:01,27,33678,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:00:01,27,33660,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:01:01,27,33692,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:01:01,27,33696,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:01:01,27,33686,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:01:01,27,33694,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:01:01,27,33684,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:01:01,0,55370,"239.255.255.250",1485,1900,"192.168.1.103",9,0
2018-04-05 12:55:01,27,22,"192.168.1.102",3173,33536,"192.168.1.108",25,0
2018-04-05 12:55:01,27,22,"192.168.1.102",3173,33540,"192.168.1.108",25,0
2018-04-05 12:55:01,27,22,"192.168.1.102",3173,33548,"192.168.1.108",25,0
2018-04-05 12:55:01,27,33534,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 12:55:01,27,33548,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 12:55:01,27,22,"192.168.1.102",3173,33542,"192.168.1.108",25,0
2018-04-05 12:57:01,27,22,"192.168.1.102",3173,33598,"192.168.1.108",25,0
2018-04-05 12:57:01,27,22,"192.168.1.102",3173,33582,"192.168.1.108",25,0
2018-04-05 12:57:01,27,33584,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 12:57:01,27,22,"192.168.1.102",3173,33584,"192.168.1.108",25,0
2018-04-05 12:58:01,27,22,"192.168.1.102",3173,33616,"192.168.1.108",25,0
2018-04-05 12:58:01,27,22,"192.168.1.102",3173,33620,"192.168.1.108",25,0
2018-04-05 13:08:01,27,22,"192.168.1.102",3173,33844,"192.168.1.108",25,0
2018-04-05 13:08:01,27,33852,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:08:01,27,22,"192.168.1.102",3173,33846,"192.168.1.108",25,0
2018-04-05 13:08:01,27,33854,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:08:01,0,138,"192.168.1.255",481,138,"192.168.1.1",2,0
2018-04-05 13:08:01,27,443,"192.168.1.108",2959,42734,"157.240.20.35",19,0
2018-04-05 13:08:01,27,443,"192.168.1.108",7579,34218,"23.209.100.235",15,0
2018-04-05 13:08:01,27,443,"192.168.1.108",239603,34208,"23.209.100.235",188,0
2018-04-05 13:08:01,27,34218,"23.209.100.235",1886,443,"192.168.1.108",16,0
2018-04-05 13:08:01,30,47422,"162.125.34.6",2145,443,"192.168.1.108",11,0
2018-04-05 13:08:01,27,38120,"157.240.20.19",2922,443,"192.168.1.108",34,0
2018-04-05 13:08:01,27,443,"192.168.1.108",6362,34230,"23.209.100.235",16,0
2018-04-05 13:08:01,27,33850,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:08:01,27,34230,"23.209.100.235",2435,443,"192.168.1.108",19,0
2018-04-05 13:06:01,26,443,"192.168.1.108",4679,57880,"104.16.18.96",9,0
2018-04-05 13:06:01,27,33806,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:06:01,27,33810,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:06:01,26,56750,"23.209.101.140",1275,443,"192.168.1.108",12,0
2018-04-05 13:06:01,27,22,"192.168.1.102",3173,33808,"192.168.1.108",25,0
2018-04-05 13:06:01,0,54754,"216.58.209.163",7582,443,"192.168.1.108",55,0
2018-04-05 13:06:01,27,33818,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:06:01,26,56748,"23.209.101.140",1275,443,"192.168.1.108",12,0
2018-04-05 13:06:01,27,22,"192.168.1.102",3173,33802,"192.168.1.108",25,0
2018-04-05 13:06:01,27,443,"192.168.1.108",4205,52444,"52.222.146.142",16,0
2018-04-05 13:04:01,27,33750,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:04:01,27,33756,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:04:01,27,33764,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:04:01,0,57216,"239.255.255.250",800,1900,"192.168.1.108",4,0
2018-04-05 13:04:01,27,22,"192.168.1.102",3173,33764,"192.168.1.108",25,0
2018-04-05 13:04:01,27,22,"192.168.1.102",3173,33750,"192.168.1.108",25,0
2018-04-05 13:04:01,27,22,"192.168.1.102",3173,33760,"192.168.1.108",25,0
2018-04-05 13:04:01,27,22,"192.168.1.102",3173,33758,"192.168.1.108",25,0
2018-04-05 13:04:01,31,443,"192.168.1.108",4634,54152,"103.15.158.129",11,0
2018-04-05 13:04:01,0,64382,"239.255.255.250",459,1900,"192.168.1.101",3,0
2018-04-05 13:07:01,27,42038,"151.101.36.84",2563,443,"192.168.1.108",11,0
2018-04-05 13:07:01,27,22,"192.168.1.102",3173,33836,"192.168.1.108",25,0
2018-04-05 13:07:01,0,47127,"172.217.17.174",3733,443,"192.168.1.108",8,0
2018-04-05 13:07:01,27,33824,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:07:01,27,22,"192.168.1.102",3173,33840,"192.168.1.108",25,0
2018-04-05 13:07:01,27,33842,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:07:01,27,33820,"192.168.1.108",2310,22,"192.168.1.102",18,1
