"_source/host","_source/@timestamp","_source/netflow/in_pkts","_source/netflow/input_snmp","_source/netflow/output_snmp","_source/netflow/l4_dst_port","_source/netflow/in_bytes","_source/netflow/protocol","_source/netflow/version","_source/netflow/flowset_id","_source/netflow/ip_protocol_version","_source/netflow/ipv4_src_addr","_source/netflow/ipv4_dst_addr","_source/netflow/last_switched","_source/netflow/first_switched","_source/netflow/flow_seq_num","_source/netflow/l4_src_port","_source/netflow/tcp_flags","_source/@version","_source/netflow/ipv6_src_addr","_source/netflow/ipv6_dst_addr","Anomaly"
"127.0.0.1",2018-04-25 00:12:01,13,0,0,443,2440,6,9,1024,4,"192.168.1.108","64.71.168.217",2018-04-25 00:06:04,2018-04-25 00:05:13,1096,59954,27,1,NA,NA,0
"127.0.0.1",2018-04-25 00:12:01,2,0,0,0,152,58,9,2048,6,NA,NA,2018-04-25 00:06:07,2018-04-25 00:06:05,1096,0,0,1,"fe80::61:8335:2a03:15c3","ff02::16",0
"127.0.0.1",2018-04-25 00:12:01,11,0,0,443,7247,17,9,1024,4,"192.168.1.108","172.217.169.138",2018-04-25 00:06:29,2018-04-25 00:06:14,1096,48426,0,1,NA,NA,0
"127.0.0.1",2018-04-25 00:07:01,12,0,0,443,2388,6,9,1024,4,"192.168.1.108","64.71.168.217",2018-04-25 00:02:01,2018-04-25 00:01:10,1078,59944,27,1,NA,NA,0
"127.0.0.1",2018-04-25 00:07:01,12,0,0,55485,5128,17,9,1024,4,"216.58.206.202","192.168.1.108",2018-04-25 00:01:25,2018-04-25 00:01:10,1071,443,0,1,NA,NA,0
"127.0.0.1",2018-04-25 00:03:01,5,0,0,443,268,6,9,1024,4,"192.168.1.108","64.71.168.217",2018-04-24 23:57:04,2018-04-24 23:56:05,1027,59916,19,1,NA,NA,0
"127.0.0.1",2018-04-25 00:03:01,4,0,0,1900,800,17,9,1024,4,"192.168.1.108","239.255.255.250",2018-04-24 23:57:49,2018-04-24 23:57:46,1027,49179,0,1,NA,NA,0
"127.0.0.1",2018-04-25 00:01:01,10,0,0,50642,4344,6,9,1024,4,"162.125.66.3","192.168.1.108",2018-04-24 23:58:21,2018-04-24 23:31:30,1020,443,27,1,NA,NA,0
"127.0.0.1",2018-04-25 00:01:01,11,0,0,59912,1382,6,9,1024,4,"64.71.168.217","192.168.1.108",2018-04-24 23:55:55,2018-04-24 23:55:04,1020,443,27,1,NA,NA,0
"127.0.0.1",2018-04-25 00:04:01,2,0,0,5355,162,17,9,2048,6,NA,NA,2018-04-24 23:58:39,2018-04-24 23:58:38,1049,49196,0,1,"fe80::7034:6f70:604e:8ca3","ff02::1:3",0
"127.0.0.1",2018-04-25 00:02:01,12,0,0,59795,5253,17,9,1024,4,"172.217.169.138","192.168.1.108",2018-04-24 23:56:19,2018-04-24 23:56:04,1024,443,0,1,NA,NA,0
"127.0.0.1",2018-04-25 00:09:01,4,0,0,1900,800,17,9,1024,4,"192.168.1.108","239.255.255.250",2018-04-25 00:03:49,2018-04-25 00:03:46,1083,52243,0,1,NA,NA,0
"127.0.0.1",2018-04-25 00:07:01,11,0,0,59944,1353,6,9,1024,4,"64.71.168.217","192.168.1.108",2018-04-25 00:02:01,2018-04-25 00:01:10,1078,443,27,1,NA,NA,0
"127.0.0.1",2018-04-25 00:09:01,10,0,0,43976,4565,6,9,1024,4,"162.125.33.7","192.168.1.108",2018-04-25 00:06:11,2018-04-24 23:40:40,1083,443,27,1,NA,NA,0
"127.0.0.1",2018-04-25 00:12:01,4,0,0,1900,1371,17,9,1024,4,"192.168.1.1","239.255.255.250",2018-04-25 00:06:49,2018-04-25 00:06:49,1103,1900,0,1,NA,NA,0
"127.0.0.1",2018-04-25 00:04:01,653,0,0,56908,814327,6,9,1024,4,"129.164.179.22","192.168.1.108",2018-04-24 23:58:03,2018-04-24 23:58:01,1035,443,27,1,NA,NA,0
"127.0.0.1",2018-04-25 00:04:01,1,0,0,0,72,58,9,2048,6,NA,NA,2018-04-24 23:58:33,2018-04-24 23:58:33,1042,0,0,1,"fe80::7034:6f70:604e:8ca3","ff02::1",0
"127.0.0.1",2018-04-25 00:04:01,2,0,0,5355,146,17,9,2048,6,NA,NA,2018-04-24 23:58:36,2018-04-24 23:58:35,1049,61145,0,1,"fe80::7034:6f70:604e:8ca3","ff02::1:3",0
"127.0.0.1",2018-04-25 00:04:01,4,0,0,1900,808,17,9,1024,4,"192.168.1.106","239.255.255.250",2018-04-24 23:58:37,2018-04-24 23:58:34,1049,52698,0,1,NA,NA,0
"127.0.0.1",2018-04-25 00:04:01,4,0,0,1900,808,17,9,1024,4,"192.168.1.106","239.255.255.250",2018-04-24 23:58:40,2018-04-24 23:58:37,1057,51314,0,1,NA,NA,0
"127.0.0.1",2018-04-25 00:04:01,1,0,0,0,72,58,9,2048,6,NA,NA,2018-04-24 23:58:32,2018-04-24 23:58:32,1042,0,0,1,"fe80::c225:e9ff:fec0:49d8","ff02::1:ff4e:8ca3",0
